Player,Tm,PTS,+/-,PIM,EVG,PPG,SHG,EVA,PPA,SHA,S,S%
Nicholas Abruzzese,TOR,1,-1,2,1,0,0,0,0,0,8,12.5
Noel Acciari,FLA,8,2,11,3,0,0,5,0,0,32,9.4
Calen Addison,MIN,4,-4,2,2,0,0,2,0,0,17,11.8
Andrew Agozzino,OTT,0,0,0,0,0,0,0,0,0,1,0
Jack Ahcan,BOS,1,-3,0,0,1,0,0,0,0,5,20
Sebastian Aho,CAR,81,18,38,23,13,1,27,15,2,221,16.7
Sebastian Aho,NYI,12,-6,10,2,0,0,8,2,0,34,5.9
Alexander Alexeyev,WSH,0,0,2,0,0,0,0,0,0,0,
Wade Allison,PHI,0,-1,0,0,0,0,0,0,0,2,0
Michael Amadio,TOT,18,1,15,11,0,0,7,0,0,64,17.2
Michael Amadio,VEG,18,0,15,11,0,0,7,0,0,62,17.7
Michael Amadio,TOR,0,1,0,0,0,0,0,0,0,2,0
Joey Anderson,TOR,0,0,0,0,0,0,0,0,0,10,0
Josh Anderson,MTL,32,-25,65,17,2,0,12,1,0,151,12.6
Michael Anderson,LAK,8,6,8,2,0,0,6,0,0,58,3.4
Jaret Anderson-Dolan,LAK,0,-3,4,0,0,0,0,0,0,5,0
Lias Andersson,LAK,2,-7,12,1,0,0,0,1,0,29,3.4
Rasmus Andersson,CGY,50,30,28,2,2,0,28,17,1,152,2.6
Andy Andreoff,NYI,1,-1,0,1,0,0,0,0,0,6,16.7
Anthony Angello,PIT,0,0,2,0,0,0,0,0,0,2,0
Mason Appleton,TOT,21,-1,30,8,0,0,13,0,0,98,8.2
Mason Appleton,SEA,17,-4,14,6,0,0,11,0,0,68,8.8
Mason Appleton,WPG,4,3,16,2,0,0,2,0,0,30,6.7
Josh Archibald,EDM,1,-2,7,0,0,0,1,0,0,4,0
Joel Armia,MTL,14,-15,14,4,1,1,6,2,0,103,5.8
Viktor Arvidsson,LAK,49,1,22,16,4,0,25,4,0,227,8.8
Rasmus Asplund,BUF,27,-5,10,5,2,1,17,2,0,130,6.2
Zach Aston-Reese,TOT,15,9,28,5,0,0,10,0,0,78,6.4
Zach Aston-Reese,PIT,11,8,22,2,0,0,9,0,0,52,3.8
Zach Aston-Reese,ANA,4,1,6,3,0,0,1,0,0,26,11.5
Andreas Athanasiou,LAK,17,7,4,11,0,0,5,1,0,71,15.5
Cam Atkinson,PHI,50,-2,10,18,2,3,24,3,0,215,10.7
Ronald Attard,PHI,4,-2,8,2,0,0,2,0,0,16,12.5
Nicolas Aube-Kubel,TOT,23,11,47,11,0,0,12,0,0,87,12.6
Nicolas Aube-Kubel,COL,22,14,41,11,0,0,11,0,0,78,14.1
Nicolas Aube-Kubel,PHI,1,-3,6,0,0,0,1,0,0,9,0
Mikael Backlund,CGY,39,16,30,12,0,0,20,7,0,214,5.6
Nicklas Backstrom,WSH,31,-8,12,5,1,0,12,13,0,68,8.8
Brandon Baddock,MTL,0,0,0,0,0,0,0,0,0,0,
Sven Baertschi,VEG,0,-1,0,0,0,0,0,0,0,1,0
Kevin Bahl,NJD,4,-6,10,1,0,0,3,0,0,16,6.3
Josh Bailey,NYI,44,-7,6,12,2,0,21,9,0,87,16.1
Justin Bailey,VAN,0,-5,6,0,0,0,0,0,0,16,0
Rudolfs Balcers,SJS,23,-3,20,11,0,0,11,0,1,98,11.2
Alexander Barabanov,SJS,39,-5,14,8,2,0,23,6,0,103,9.7
Ivan Barbashev,STL,60,4,40,21,4,1,28,5,1,111,23.4
Riley Barber,DET,0,-2,2,0,0,0,0,0,0,4,0
Aleksander Barkov,FLA,88,36,18,23,12,4,34,14,1,214,18.2
Alex Barre-Boulet,TOT,6,0,4,3,0,0,2,1,0,16,18.8
Alex Barre-Boulet,TBL,5,0,4,3,0,0,1,1,0,16,18.8
Alex Barre-Boulet,SEA,1,0,0,0,0,0,1,0,0,0,
Tyson Barrie,EDM,41,3,18,4,3,0,15,18,1,149,4.7
Justin Barron,TOT,2,-3,0,1,0,0,1,0,0,13,7.7
Justin Barron,MTL,2,-2,0,1,0,0,1,0,0,13,7.7
Justin Barron,COL,0,-1,0,0,0,0,0,0,0,0,
Morgan Barron,TOT,5,-4,8,2,0,0,3,0,0,33,6.1
Morgan Barron,WPG,4,-3,4,2,0,0,2,0,0,24,8.3
Morgan Barron,NYR,1,-1,4,0,0,0,1,0,0,9,0
Mathew Barzal,NYI,59,-15,18,14,1,0,25,19,0,161,9.3
Nathan Bastian,TOT,18,-12,65,9,3,0,5,1,0,97,12.4
Nathan Bastian,NJD,16,-11,34,8,3,0,4,1,0,87,12.6
Nathan Bastian,SEA,2,-1,31,1,0,0,1,0,0,10,10
Drake Batherson,OTT,44,4,32,14,3,0,16,11,0,110,15.5
Gavin Bayreuther,CBJ,8,0,22,0,0,0,8,0,0,44,0
Jay Beagle,ARI,2,-20,27,1,0,0,1,0,0,24,4.2
Jake Bean,CBJ,25,-5,26,7,0,0,13,4,1,90,7.8
Ethan Bear,CAR,14,1,20,5,0,0,8,1,0,97,5.2
Nicolas Beaudin,CHI,0,-1,0,0,0,0,0,0,0,1,0
Nathan Beaulieu,WPG,4,-7,25,0,0,0,3,0,1,24,0
Anthony Beauvillier,NYI,34,-10,12,7,5,0,16,6,0,154,7.8
Adam Beckman,MIN,1,-1,2,0,0,0,1,0,0,4,0
Pierre-Edouard Bellemare,TBL,20,24,19,8,0,1,11,0,0,72,12.5
Kieffer Bellows,NYI,19,-1,19,6,0,0,9,4,0,79,7.6
Alex Belzile,MTL,0,0,4,0,0,0,0,0,0,13,0
Emil Bemstrom,CBJ,11,-1,4,6,0,0,5,0,0,62,9.7
Matthew Beniers,SEA,9,-1,0,1,2,0,4,2,0,18,16.7
Jamie Benn,DAL,46,-13,88,14,3,1,20,8,0,182,9.9
Jordie Benn,MIN,8,1,10,1,0,0,7,0,0,37,2.7
Sam Bennett,FLA,49,27,74,23,5,0,16,4,1,241,11.6
Matt Benning,NSH,11,-24,39,0,0,0,11,0,0,61,0
Simon Benoit,ANA,5,-5,22,1,0,0,4,0,0,45,2.2
Tyler Benson,EDM,2,-5,18,1,0,0,1,0,0,18,5.6
Patrice Bergeron,BOS,65,26,32,17,8,0,22,15,3,293,8.5
Jacob Bernard-Docker,OTT,1,1,4,0,0,0,1,0,0,6,0
Tyler Bertuzzi,DET,62,-11,47,23,6,1,23,8,1,180,16.7
Alex Biega,TOR,0,-2,0,0,0,0,0,0,0,2,0
Brandon Biro,BUF,0,0,0,0,0,0,0,0,0,0,
Clark Bishop,OTT,1,-3,6,0,0,0,1,0,0,8,0
Anders Bjork,BUF,8,-14,10,5,0,0,3,0,0,51,9.8
Kasper Bjorkqvist,PIT,1,-1,2,1,0,0,0,0,0,8,12.5
Oliver Bjorkstrand,CBJ,57,-35,16,19,9,0,19,10,0,215,13
Tobias Bjornfot,LAK,8,-12,6,0,0,0,8,0,0,53,0
Nick Bjugstad,MIN,13,-2,20,6,1,0,6,0,0,81,8.6
Colin Blackwell,TOT,20,0,14,8,0,2,10,0,0,77,13
Colin Blackwell,SEA,17,1,4,6,0,2,9,0,0,61,13.1
Colin Blackwell,TOR,3,-1,10,2,0,0,1,0,0,16,12.5
Sammy Blais,NYR,4,3,17,0,0,0,4,0,0,17,0
Nick Blankenburg,CBJ,3,-3,4,0,1,0,2,0,0,13,7.7
Anton Blidh,BOS,9,-3,24,2,0,0,7,0,0,28,7.1
Teddy Blueger,PIT,28,12,10,8,0,1,18,0,1,93,9.7
Brock Boeser,VAN,46,-5,20,12,11,0,16,6,1,195,11.8
Zach Bogosian,TBL,8,2,53,3,0,0,5,0,0,60,5
Matt Boldy,MIN,39,17,10,12,3,0,17,7,0,113,13.3
Nick Bonino,SJS,26,-25,18,12,3,1,6,4,0,137,11.7
Adam Boqvist,CBJ,22,-11,12,8,3,0,8,3,0,64,17.2
Jesper Boqvist,NJD,23,-9,10,10,0,0,12,1,0,74,13.5
Thomas Bordeleau,SJS,5,-1,0,0,0,0,4,1,0,13,0
William Borgen,SEA,8,1,28,2,0,0,6,0,0,49,4.1
Henrik Borgstr\'f6m,CHI,7,-14,22,4,0,0,2,1,0,41,9.8
Mark Borowiecki,NSH,4,-9,151,0,0,0,4,0,0,45,0
Robert Bortuzzo,STL,6,-4,36,1,0,0,5,0,0,47,2.1
Evan Bouchard,EDM,43,10,28,10,2,0,25,5,1,205,5.9
Madison Bowey,VAN,0,-3,0,0,0,0,0,0,0,0,
Travis Boyd,ARI,35,-10,34,15,2,0,16,2,0,88,19.3
Brian Boyle,PIT,21,6,27,10,0,1,10,0,0,87,12.6
Tyler Bozak,STL,12,-11,14,2,0,1,7,1,1,46,6.5
Erik Brannstrom,OTT,14,-17,30,0,0,0,8,6,0,86,0
Derick Brassard,TOT,19,4,16,7,1,0,10,1,0,62,12.9
Derick Brassard,PHI,16,6,10,5,1,0,9,1,0,46,13
Derick Brassard,EDM,3,-2,6,2,0,0,1,0,0,16,12.5
Jesper Bratt,NJD,73,0,16,23,3,0,32,15,0,197,13.2
Justin Braun,TOT,18,2,36,6,0,0,12,0,0,73,8.2
Justin Braun,PHI,16,3,36,5,0,0,11,0,0,67,7.5
Justin Braun,NYR,2,-1,0,1,0,0,1,0,0,6,16.7
Bobby Brink,PHI,4,-5,0,0,0,0,3,1,0,18,0
Guillaume Brisebois,VAN,0,-1,0,0,0,0,0,0,0,0,
Philip Broberg,EDM,3,-8,8,1,0,0,2,0,0,29,3.4
T.J. Brodie,TOR,28,20,34,4,0,0,21,1,2,68,5.9
Jonas Brodin,MIN,30,9,18,4,1,0,18,6,1,126,4
Jonny Brodzinski,NYR,2,1,10,1,0,0,1,0,0,34,2.9
Adam Brooks,TOT,3,2,2,2,0,0,1,0,0,14,14.3
Adam Brooks,WPG,0,0,0,0,0,0,0,0,0,9,0
Adam Brooks,VEG,2,3,2,2,0,0,0,0,0,5,40
Adam Brooks,MTL,1,-1,0,0,0,0,1,0,0,0,
Connor Brown,OTT,39,-15,10,9,0,1,17,9,3,121,8.3
Dustin Brown,LAK,28,-3,20,8,1,0,17,2,0,146,6.2
Josh Brown,TOT,6,-7,37,0,0,0,6,0,0,45,0
Josh Brown,OTT,6,-9,32,0,0,0,6,0,0,43,0
Josh Brown,BOS,0,2,5,0,0,0,0,0,0,2,0
Logan Brown,STL,11,-3,8,4,0,0,6,1,0,34,11.8
Patrick Brown,PHI,9,-16,11,4,0,0,5,0,0,51,7.8
Jacob Bryson,BUF,10,-9,12,0,1,0,3,6,0,43,2.3
Pavel Buchnevich,STL,76,29,34,20,8,2,33,11,2,199,15.1
Connor Bunnaman,PHI,0,-7,4,0,0,0,0,0,0,10,0
Michael Bunting,TOR,63,27,80,21,2,0,37,3,0,175,13.1
Andre Burakovsky,COL,61,12,18,18,4,0,32,7,0,149,14.8
Brent Burns,SJS,54,-15,42,6,4,0,29,14,1,203,4.9
Kyle Burroughs,VAN,5,-3,39,1,0,0,4,0,0,39,2.6
Will Butcher,BUF,8,-10,0,2,0,0,4,2,0,35,5.7
Quinton Byfield,LAK,10,-7,20,5,0,0,4,1,0,39,12.8
Bowen Byram,COL,17,7,12,4,1,0,12,0,0,49,10.2
Paul Byron,MTL,7,-8,2,4,0,0,3,0,0,33,12.1
Drake Caggiula,BUF,5,-4,4,2,0,0,2,1,0,23,8.7
Kyle Capobianco,ARI,9,-12,38,1,1,0,6,1,0,40,5
Michael Carcone,ARI,6,-8,14,4,0,0,2,0,0,36,11.1
Brandon Carlo,BOS,15,2,31,5,0,1,8,1,0,125,4.8
John Carlson,WSH,71,13,20,10,7,0,33,18,3,195,8.7
Gabriel Carlsson,CBJ,9,6,10,2,0,0,7,0,0,18,11.1
Lucas Carlsson,FLA,9,3,10,3,0,0,6,0,0,41,7.3
Ryan Carpenter,TOT,12,-11,36,3,0,0,8,1,0,67,4.5
Ryan Carpenter,CHI,11,-10,36,3,0,0,7,1,0,61,4.9
Ryan Carpenter,CGY,1,-1,0,0,0,0,1,0,0,6,0
Sam Carrick,ANA,19,-12,85,11,0,0,8,0,0,80,13.8
Alexandre Carrier,NSH,30,26,50,2,1,0,23,3,1,95,3.2
William Carrier,VEG,20,7,34,9,0,0,11,0,0,120,7.5
Jeff Carter,PIT,45,-8,38,15,3,1,23,3,0,200,9.5
Jackson Cates,PHI,1,-2,0,1,0,0,0,0,0,8,12.5
Noah Cates,PHI,9,4,4,4,1,0,4,0,0,23,21.7
Cole Caufield,MTL,43,-24,10,18,5,0,12,8,0,188,12.2
Cody Ceci,EDM,28,8,14,5,0,0,20,0,3,102,4.9
Erik Cernak,TBL,13,7,46,1,0,0,12,0,0,86,1.2
Thomas Chabot,OTT,38,-3,26,6,1,0,19,12,0,173,4
Mitchell Chaffee,MIN,0,1,0,0,0,0,0,0,0,1,0
Zdeno Chara,NYI,14,8,85,2,0,0,12,0,0,81,2.5
Jalen Chatfield,CAR,3,1,8,0,0,0,3,0,0,25,0
Ben Chiarot,TOT,26,-14,48,7,2,0,15,1,1,143,6.3
Ben Chiarot,MTL,18,-18,42,6,1,0,9,1,1,96,7.3
Ben Chiarot,FLA,8,4,6,1,1,0,6,0,0,47,4.3
Alex Chiasson,VAN,22,4,24,7,6,0,5,4,0,98,13.3
Yegor Chinakhov,CBJ,14,-27,16,6,1,0,7,0,0,98,7.1
Declan Chisholm,WPG,0,1,0,0,0,0,0,0,0,4,0
Sasha Chmelevski,SJS,8,2,4,0,0,0,8,0,0,31,0
Dennis Cholowski,TOT,3,-3,2,0,0,0,3,0,0,11,0
Dennis Cholowski,WSH,1,-4,2,0,0,0,1,0,0,3,0
Dennis Cholowski,SEA,2,1,0,0,0,0,2,0,0,8,0
Jake Christiansen,CBJ,1,1,0,1,0,0,0,0,0,4,25
Jakob Chychrun,ARI,21,-20,47,6,1,0,14,0,0,141,5
Filip Chytil,NYR,22,-1,14,8,0,0,13,1,0,135,5.9
Anthony Cirelli,TBL,43,15,70,13,3,1,21,5,0,146,11.6
Casey Cizikas,NYI,16,-3,48,9,0,1,6,0,0,91,11
Fredrik Claesson,TBL,0,-3,0,0,0,0,0,0,0,4,0
Kale Clague,TOT,10,-10,20,2,0,0,5,3,0,26,7.7
Kale Clague,MTL,5,-8,18,2,0,0,3,0,0,20,10
Kale Clague,LAK,5,-2,2,0,0,0,2,3,0,6,0
Kyle Clifford,TOT,4,-5,31,1,0,0,3,0,0,29,3.4
Kyle Clifford,TOR,3,-4,31,1,0,0,2,0,0,24,4.2
Kyle Clifford,STL,1,-1,0,0,0,0,1,0,0,5,0
Connor Clifton,BOS,10,-2,32,2,0,0,8,0,0,80,2.5
Cal Clutterbuck,NYI,15,-6,10,5,0,1,9,0,0,74,8.1
Dylan Coghlan,VEG,13,-5,18,1,2,0,8,2,0,108,2.8
Andrew Cogliano,TOT,16,-18,20,3,0,1,11,0,1,75,5.3
Andrew Cogliano,SJS,15,-16,12,3,0,1,10,0,1,58,6.9
Andrew Cogliano,COL,1,-2,8,0,0,0,1,0,0,17,0
Ian Cole,CAR,19,15,83,2,0,0,16,0,1,77,2.6
Blake Coleman,CGY,33,16,60,15,0,1,16,0,1,212,7.5
